CHROM	Start	End	Strand	GeneID
chr1	65419	71585	+	ENSG00000186092
chr1	450740	451678	-	ENSG00000284733
chr1	685716	686654	-	ENSG00000284662
chr1	923923	944574	+	ENSG00000187634
chr1	944203	959256	-	ENSG00000188976
chr1	960584	965719	+	ENSG00000187961
chr1	966482	975865	+	ENSG00000187583
chr1	975198	982093	-	ENSG00000187642
chr1	998964	1000097	-	ENSG00000188290
chr1	1013497	1014540	+	ENSG00000187608
chr1	1020120	1056116	+	ENSG00000188157
chr1	1070967	1074306	-	ENSG00000237330
chr1	1081823	1116089	-	ENSG00000131591
chr1	1173880	1197936	+	ENSG00000162571
chr1	1203508	1206592	-	ENSG00000186891
chr1	1211340	1214153	-	ENSG00000186827
chr1	1216931	1232001	-	ENSG00000078808
chr1	1232237	1235041	+	ENSG00000176022
chr1	1242453	1246722	-	ENSG00000184163
chr1	1253912	1273854	-	ENSG00000160087
chr1	1280436	1292025	+	ENSG00000162572
chr1	1292391	1307930	-	ENSG00000131584
chr1	1308597	1311677	+	ENSG00000169972
chr1	1311600	1324660	-	ENSG00000127054
chr1	1324802	1328896	+	ENSG00000224051
chr1	1331280	1335314	+	ENSG00000169962
chr1	1335278	1349418	-	ENSG00000107404
chr1	1352691	1358555	-	ENSG00000162576
chr1	1373736	1375207	-	ENSG00000175756
chr1	1385711	1399335	-	ENSG00000221978
chr1	1401909	1407293	-	ENSG00000242485
chr1	1418420	1421276	-	ENSG00000235098
chr1	1425871	1430255	+	ENSG00000205116
chr1	1435690	1442882	+	ENSG00000179403
chr1	1449689	1470163	+	ENSG00000215915
chr1	1471765	1497848	+	ENSG00000160072
chr1	1512162	1534685	+	ENSG00000197785
chr1	1534778	1540624	-	ENSG00000205090
chr1	1541673	1574863	-	ENSG00000160075
chr1	1598012	1600135	-	ENSG00000228594
chr1	1615500	1630605	+	ENSG00000197530
chr1	1632173	1634654	+	ENSG00000189409
chr1	1635225	1659004	-	ENSG00000248333
chr1	1661478	1692795	-	ENSG00000189339
chr1	1702379	1724357	-	ENSG00000008128
chr1	1751232	1778470	-	ENSG00000008130
chr1	1785286	1891087	-	ENSG00000078369
chr1	1915260	1917296	+	ENSG00000169885
chr1	1917591	1919279	-	ENSG00000178821
chr1	1921957	2003786	-	ENSG00000142609
chr1	2019345	2030758	+	ENSG00000187730
chr1	2050411	2185395	+	ENSG00000067606
chr1	2189548	2194772	-	ENSG00000162585
chr1	2228319	2310213	+	ENSG00000157933
chr1	2321253	2391554	-	ENSG00000116151
chr1	2391841	2405436	+	ENSG00000157916
chr1	2403974	2412564	-	ENSG00000157911
chr1	2476289	2505532	+	ENSG00000149527
chr1	2508537	2526596	-	ENSG00000157881
chr1	2528745	2530263	-	ENSG00000197921
chr1	2556371	2563829	+	ENSG00000157873
chr1	2586777	2591468	+	ENSG00000157870
chr1	2590639	2633016	-	ENSG00000142606
chr1	2636986	2801693	-	ENSG00000215912
chr1	3021467	3022903	+	ENSG00000169717
chr1	3069203	3438621	+	ENSG00000142611
chr1	3454665	3481113	+	ENSG00000130762
chr1	3487951	3611508	-	ENSG00000162591
chr1	3625015	3630127	+	ENSG00000158109
chr1	3630770	3650103	-	ENSG00000116213
chr1	3652516	3736201	+	ENSG00000078900
chr1	3752450	3771645	+	ENSG00000162592
chr1	3772749	3775956	+	ENSG00000235169
chr1	3778559	3796498	-	ENSG00000130764
chr1	3812086	3857211	-	ENSG00000116198
chr1	3857476	3885429	+	ENSG00000169598
chr1	3889133	3900272	-	ENSG00000198912
chr1	4654609	4792534	+	ENSG00000196581
chr1	5862811	5992425	-	ENSG00000131697
chr1	6045888	6101180	+	ENSG00000069424
chr1	6101787	6180321	-	ENSG00000116254
chr1	6159430	6197757	-	ENSG00000285629
chr1	6185020	6199595	-	ENSG00000116251
chr1	6206119	6221299	+	ENSG00000158286
chr1	6221193	6235964	-	ENSG00000116237
chr1	6244179	6245578	+	ENSG00000173673
chr1	6247353	6261098	-	ENSG00000158292
chr1	6264272	6393767	-	ENSG00000097021
chr1	6415232	6419919	-	ENSG00000069812
chr1	6424776	6460944	+	ENSG00000187017
chr1	6460786	6466173	-	ENSG00000215788
chr1	6467122	6491667	-	ENSG00000171680
chr1	6521347	6554513	-	ENSG00000162408
chr1	6555307	6579755	+	ENSG00000173662
chr1	6579994	6589280	+	ENSG00000204859
chr1	6590724	6602869	-	ENSG00000162413
chr1	6613731	6624030	+	ENSG00000116273
chr1	6624868	6633562	+	ENSG00000041988
chr1	6634170	6701816	-	ENSG00000007923
chr1	6785454	7769706	+	ENSG00000171735
chr1	7771296	7781432	+	ENSG00000049245
chr1	7784291	7845177	+	ENSG00000049246
chr1	7847612	7853065	-	ENSG00000049247
chr1	7915871	7940839	-	ENSG00000049249
chr1	7961711	7985505	+	ENSG00000116288
chr1	8011727	8026309	-	ENSG00000116285
chr1	8318114	8344165	+	ENSG00000162426
chr1	8352404	8817640	-	ENSG00000142599
chr1	8861000	8878686	-	ENSG00000074800
chr1	8945868	8975092	+	ENSG00000131686
chr1	9002973	9026423	-	ENSG00000197241
chr1	9035106	9069635	-	ENSG00000142583
chr1	9100305	9129102	-	ENSG00000180758
chr1	9234774	9271337	+	ENSG00000049239
chr1	9292894	9369532	+	ENSG00000171621
chr1	9539465	9585173	+	ENSG00000171612
chr1	9588911	9614877	+	ENSG00000188807
chr1	9651731	9729114	+	ENSG00000171608
chr1	9728926	9823965	-	ENSG00000171603
chr1	9848276	9910269	-	ENSG00000178585
chr1	9926293	9943391	-	ENSG00000162441
chr1	9943475	9985498	+	ENSG00000173614
chr1	9997228	10016021	+	ENSG00000162444
chr1	10032958	10181239	+	ENSG00000130939
chr1	10210570	10381603	+	ENSG00000054523
chr1	10399064	10420511	+	ENSG00000142657
chr1	10430435	10451411	+	ENSG00000251503
chr1	10430433	10442808	+	ENSG00000175279
chr1	10450031	10451998	+	ENSG00000241563
chr1	10456522	10472529	-	ENSG00000160049
chr1	10474950	10630758	+	ENSG00000142655
chr1	10636604	10796646	-	ENSG00000130940
chr1	10946475	10982076	-	ENSG00000175262
chr1	11012654	11025492	+	ENSG00000120948
chr1	11026523	11047239	-	ENSG00000009724
chr1	11054589	11060018	-	ENSG00000116649
chr1	11066618	11099869	-	ENSG00000171824
chr1	11106535	11262551	-	ENSG00000198793
chr1	11189355	11195981	+	ENSG00000171819
chr1	11273198	11288434	+	ENSG00000120942
chr1	11479155	11537551	+	ENSG00000204624
chr1	11648387	11654429	-	ENSG00000116661
